Title,Ingredients,Instructions,Yield,Time,Notes,Author,Source URL
Deconstructed Pizza Casserole,,,,,The recipe is available on Kalyn's Kitchen.,Kalyns Kitchen,https://www.huffpost.com/entry/keto-casserole-recipes_n_58adc8ebe4b03d80af715aee
,,,,,,,https://thewoodenskillet.com/creamy-slow-cooker-white-chicken-chili/
,,,,,,,https://www.mydomaine.com/vegan-soup-recipes
Creamy Spinach Tortellini Soup with Chicken,"1. 1 tablespoon olive oil
2. 1/2 medium onion, chopped
3. 3 medium carrots, peeled & chopped or sliced thin
4. 3 sticks celery, chopped
5. 3 cloves garlic, minced
6. 8 ounces cremini mushrooms, sliced
7. 1 tablespoon flour
8. 4 cups chicken broth or stock
9. 1 cup water
10. 2 cups cooked chicken (leftover or rotisserie)
11. 1/4 teaspoon Italian seasoning
12. 2 generous cups refrigerated cheese tortellini
13. 1 cup heavy/whipping cream
14. 2 cups fresh baby spinach (packed)
15. Salt & pepper to taste","1. Sauté the onions, carrots, and celery in a soup pot until softened.
2. Add in the mushrooms and garlic, cooking for a few minutes more, stirring every so often.
3. Stir in the flour, and cook for a minute.
4. Add in the broth, water, Italian seasoning, and chicken. Bring to a boil, then add in the tortellini.
5. Reduce the heat, then simmer until the pasta is done.
6. Add in the cream and spinach, and warm through.
7. Season with salt & pepper.",6 servings,"Prep: 15 minutes
Cook: 20 minutes
Total: 35 minutes","This is a flexible soup, so feel free to add other vegetables you have on hand. It's not recommended to substitute the cream for a lower fat option as it adds to the silkiness and taste of the broth.",Natasha Bull,https://www.saltandlavender.com/creamy-spinach-tortellini-soup-with-chicken/?utm_campaign=later-linkinbio-saltandlavender&utm_content=later-1212655&utm_medium=social&utm_source=instagram
,,,,,,,https://thewoodenskillet.com/creamy-fall-harvest-dairy-free-veggie-pot-pie/
,,,,,,,https://unboundwellness.com/the-ultimate-guide-to-tigernut-flour/
,,,,,,,https://thebigmansworld.com/healthy-no-bake-carrot-cake-breakfast-bars/
,,,,,"Access to the webpage content was denied, so no recipe details could be extracted.",,https://www.thekitchn.com/i-tried-ina-gartens-mashed-potatoes-263140?preview=true
Burnished Potato Nuggets,"1. 5 lb. russet potatoes, peeled, cut into 2"" pieces
2. Kosher salt
3. ½ cup extra-virgin olive oil
4. ¼ cup vegetable oil
5. 8 garlic cloves, lightly crushed
6. 2 long sprigs rosemary","1. Preheat oven to 425°. Place potatoes in a large pot and pour in water to cover by 2"". Season water generously with salt and bring to a simmer over medium-high heat. Reduce heat and simmer gently until potatoes are tender on the outside but still very firm in the center, 8–10 minutes.
2. Pour off all of the water in pot, holding potatoes back (make sure there's no liquid left!). Let potatoes sit, uncovered, for a few minutes to steam off any excess liquid they've absorbed. Toss potatoes just enough to rough up their outsides and give them a floury starchy coating (do not toss so vigorously that they fall apart); season with salt.
3. Meanwhile, combine both oils in a large roasting pan and heat in oven 10 minutes.
4. Carefully remove pan from oven; add potatoes, turning each one to coat and moisten exterior. Make sure they're in a single layer and leave a bit of space between them. Return pan to oven and roast potatoes, turning every 10 minutes, for 30 minutes (if they aren't browning after 15 minutes, increase oven temperature to 450°).
5. Toss in garlic and rosemary and cook until potatoes are deep golden brown on most of their sides, 8–10 minutes. Using a slotted spoon, transfer potatoes to a platter and serve with roasted garlic and rosemary alongside.",8 servings,Cook: 56 minutes,"Behold, your new standard for roasted potatoes: puck-size oven fries with creamy insides and unimaginably crunchy exteriors that will make you swoon.",Chris Morocco,https://www.bonappetit.com/recipe/burnished-potato-nuggets?utm_campaign=likeshopme&mbid=social_instagram&utm_medium=instagram&utm_source=www.instagram.com/p/BqI4Ojen8i7/&utm_content=www.instagram.com/p/BqI4Ojen8i7/
,,,,,,,https://thecastawaykitchen.com/2018/11/keto-fudge-brownies-easy/
Shaved Carrots With Charred Dates,"1. Carrots
2. Blood oranges or grapefruit
3. Unseasoned rice vinegar
4. Dates
5. Tarragon","1. Shave the carrots using a mandoline or a sharp knife.
2. Supreme the blood oranges or grapefruit by cutting the flesh off the core in lobes and squeeze out some juice.
3. Mix the citrus juice with unseasoned rice vinegar to create a dressing.
4. Soak the shaved carrots in the citrus dressing.
5. Char the dates in a hot cast iron skillet until blackened, then let them cool.
6. Remove the pits from the dates and tear them into bite-sized pieces.
7. Combine the soaked carrots, charred dates, and sprinkle with tarragon before serving.",,,This salad is a colorful and flavorful alternative to traditional leafy greens.,Aliza Abarbanel,https://www.bonappetit.com/story/raw-carrot-and-date-salad?utm_campaign=likeshopme&client_service_id=31182&utm_social_type=owned&utm_brand=epi&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&mbid=social_instagram_healthyish&utm_medium=social&client_service_name=healthyish&supported_service_name=instagram_publishing
,,,,,,,https://www.howsweeteats.com/2018/11/smoked-salmon-platter/
Keto Cream Cheese Coconut Flour Pound Cake,"1. Large eggs, room temperature
2. Full-fat cream cheese
3. Unsalted butter
4. Granulated sugar substitute
5. Coconut flour
6. Sour cream
7. Baking powder
8. Sea salt
9. Vanilla extract
10. Confectioner's sugar substitute (optional for lemon glaze)
11. Lemon juice (optional for lemon glaze)
12. Lemon extract (optional for lemon glaze)
13. Lemon zest (optional for lemon glaze)","1. Preheat your oven to the appropriate temperature.
2. In a large mixing bowl, beat the room temperature eggs using an electric mixer.
3. Add the full-fat cream cheese and unsalted butter to the eggs and continue mixing until smooth.
4. Incorporate the granulated sugar substitute and mix well.
5. Gradually add the coconut flour, sour cream, baking powder, sea salt, and vanilla extract into the mixture, ensuring everything is well combined.
6. Pour the batter into a prepared baking pan.
7. Bake in the preheated oven until a toothpick inserted into the center comes out clean.
8. Allow the cake to cool on a cooling rack before serving.
9. If desired, prepare the lemon glaze by mixing the confectioner's sugar substitute, lemon juice, lemon extract, and lemon zest, and drizzle over the cooled cake.",Varies,"Prep: Not specified
Cook: Not specified
Total: Not specified","This recipe is a nut-free version of the popular keto cream cheese pound cake, using coconut flour instead of almond flour.",Hilda Solares,https://www.fittoservegroup.com/finally-a-keto-cream-cheese-coconut-flour-pound-cake/
,,,,,,,https://thefoodcharlatan.com/ginger-molasses-sandwich-cookies/
,,,,,,,https://thewoodenskillet.com/vegan-roasted-garlic-alfredo-sauce/
"Cucumber Salad with Shiso, Lime, and Sesame","1. A few very thin slices of red onion
2. Juice of 1 lime
3. 1 teaspoon rice vinegar
4. 1 long, thin cucumber
5. Pinch salt
6. Pinch sugar
7. 1/2 teaspoon sesame oil
8. A small handful of shiso leaves, sliced into ribbons
9. 1 tablespoon toasted sesame seeds
10. Pinch red pepper flakes (optional)","1. Combine the red onion, lime juice, and vinegar. Let it sit while you slice your cucumber thinly.
2. Toss it all together with a pinch each of salt and sugar.
3. Let everything sit for a few minutes, so that the onion and cucumber soften and almost begin to pickle.
4. Add the sesame oil and toss again.
5. Taste a cucumber; if you're happy with how things are going, toss in the shiso; otherwise, adjust the seasonings to taste before you add your herbs.
6. Garnish with toasted sesame seeds; I like black ones, for a bit of contrast.
7. Add the pepper flakes if you're jonesing for some heat.",Serves 1,,"I served this with some sliced avocado (in a fan, natch) and brown rice. I called it dinner.",Marian Bull,https://food52.com/recipes/28721-cucumber-salad-with-shiso-lime-and-sesame
Crispy Eggs Over Grains,"1. ¾ cup whole grains, such as freekeh, farro, rye berries, and/or barley
2. Kosher salt
3. 3 Tbsp. ghee or extra-virgin olive oil, divided
4. 1 shallot, sliced into rings
5. 2 garlic cloves, crushed
6. 1 ½"" piece ginger, peeled, finely grated
7. 1 tsp. mustard seeds
8. ½ tsp. ground turmeric
9. 2 Persian cucumbers, thinly sliced
10. 1 Tbsp. fresh lime juice
11. 2 large eggs
12. Cilantro leaves and lime wedges (for serving)","1. Cook grains in a small pot of boiling salted water until al dente. Drain and let cool in a medium bowl.
2. Meanwhile, melt 2 Tbsp. ghee in a small nonstick skillet over medium heat. Add shallot and garlic and cook, stirring occasionally, until shallot is beginning to brown and crisp around edges, 5–6 minutes. Remove from heat and stir in ginger, mustard seeds, and turmeric. Let cool slightly. Season with salt. Add cucumbers and half of shallot mixture to grains and toss to combine. Add lime juice; season with salt. Transfer grain mixture to a medium bowl. Wipe out skillet.
3. Heat remaining 1 Tbsp. ghee in skillet over medium-high. Add eggs and cook, undisturbed, until very deeply browned underneath, 2–3 minutes; season with salt. Carefully turn (if desired) and cook until all of the whites are opaque, about 5 seconds.
4. Divide grains between bowls. Top with eggs, remaining shallot mixture, and cilantro. Serve with lime wedges for squeezing over.",2 servings,,Frying shallots and garlic with mustard seeds in ghee can enhance various dishes.,Chris Morocco,https://www.bonappetit.com/recipe/crispy-eggs-over-grains
Warm Chickpea Bowls With Lemony Yogurt,"1. 1 garlic clove, finely grated
2. 1½ tsp. ground coriander
3. 1½ tsp. ground cumin
4. 3 Tbsp. extra-virgin olive oil, plus more for drizzling
5. ½ medium head of cauliflower (about ¾ lb.), broken into large florets, sliced ¼"" thick
6. 1 15-oz. can chickpeas, rinsed
7. Kosher salt, freshly ground pepper
8. ¾ cup whole-milk Greek yogurt
9. 4 Tbsp. fresh lemon juice, divided
10. 1 medium fennel bulb, halved lengthwise, very thinly sliced crosswise
11. 1 small chile (such as serrano, Fresno, or jalapeño; optional), thinly sliced
12. 1 cup very coarsely chopped parsley
13. 1 Tbsp. toasted sesame seeds","1. Preheat oven to 400°. Mix garlic, coriander, cumin, and 3 Tbsp. oil in a large bowl. Add cauliflower and chickpeas; season with salt and pepper. Toss to coat.
2. Transfer cauliflower mixture to a parchment-lined rimmed baking sheet. Wipe out bowl; reserve. Bake, tossing halfway through, until chickpeas and cauliflower are golden brown and cauliflower is tender, 18–22 minutes.
3. Meanwhile, mix yogurt, 1 Tbsp. lemon juice, and a big pinch of salt in a small bowl.
4. Toss fennel, chile (if using), parsley, sesame seeds, and remaining 3 Tbsp. lemon juice in reserved bowl; season with salt.
5. Spread yogurt mixture in serving bowls. Top with spiced chickpea mixture. Scatter fennel salad over, then drizzle with oil.",2 servings,"Prep: 10 minutes
Cook: 18–22 minutes
Total: 28–32 minutes","Feel free to swap out the cauliflower for broccoli, brussels sprouts, or your favorite root vegetable.",Andy Baraghani,https://www.bonappetit.com/recipe/warm-chickpea-bowls-with-lemony-yogurt
,,,,,,,https://www.halfbakedharvest.com/spinach-and-artichoke-stuffed-soft-pretzels/#bo-recipe
Sesame Noodles with Crispy Tofu,"1. 2 medium Persian cucumbers, thinly sliced into rounds
2. Kosher salt
3. 1 ½"" piece ginger, peeled, finely grated
4. 5 Tbsp. unseasoned rice vinegar, divided
5. 1 red chile, such as Holland or Fresno, thinly sliced, seeded if you’re spice-averse
6. ¼ cup low-sodium soy sauce
7. 3 Tbsp. honey
8. 1 12-oz. block firm tofu, drained, patted dry
9. ¼ cup neutral oil, such as grapeseed, canola, peanut, or vegetable
10. 4 oz. dried soba noodles
11. 2 Tbsp. tahini
12. 3 scallions, thinly sliced on a diagonal","1. Toss cucumbers and a few pinches of salt in a colander. Let sit until salt begins to draw out water from cucumbers, about 5 minutes. Massage cucumbers, gently at first to keep them from breaking, then more vigorously as they start to expel water. Drain and squeeze out excess liquid again. Transfer cucumbers to a small bowl. Add ginger and 1 Tbsp. vinegar and toss to combine. Chill until ready to use.
2. Whisk chile, soy sauce, honey, and 3 Tbsp. vinegar in a medium bowl.
3. Cut tofu into 9 square-ish pieces by cutting the block into thirds, then cutting each third crosswise into 3 pieces. Pat dry.
4. Heat oil in a medium nonstick skillet over medium-high until shimmering. Cook tofu, undisturbed, until very crisp and dark brown underneath, 4–5 minutes. Transfer tofu to a plate; wipe out skillet. Heat skillet over medium-high. Return tofu to skillet and add soy sauce mixture (reserve medium bowl; you’ll use it again). Cook, turning tofu occasionally and reducing heat to medium if needed, until glaze is almost thick enough to coat a spoon, about 4 minutes.
5. Meanwhile, cook soba noodles according to package directions; drain. Do not rinse noodles, even if the instructions tell you to—you want them to stay warm.
6. Transfer tofu to a plate, leaving sauce in pan. Pour sauce into reserved medium bowl. Whisk in tahini and remaining 1 Tbsp. vinegar. Add noodles and toss until coated with sauce.
7. Divide noodles among bowls. Top with tofu, pickled cucumbers, and scallions.",2 servings,,The trick to this recipe is using the pan sauce as a base for the sesame noodles. The noodles will get silky and glazy and become a perfect complement to the crispy tofu and pickled cucumbers.,Andy Baraghani,https://www.bonappetit.com/recipe/sesame-noodles-with-crispy-tofu?utm_campaign=likeshopme&client_service_id=31182&utm_social_type=owned&utm_brand=epi&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=healthyish&supported_service_name=instagram_publishing
Crispy Eggs Over Grains,"1. ¾ cup whole grains, such as freekeh, farro, rye berries, and/or barley
2. Kosher salt
3. 3 Tbsp. ghee or extra-virgin olive oil, divided
4. 1 shallot, sliced into rings
5. 2 garlic cloves, crushed
6. 1 ½"" piece ginger, peeled, finely grated
7. 1 tsp. mustard seeds
8. ½ tsp. ground turmeric
9. 2 Persian cucumbers, thinly sliced
10. 1 Tbsp. fresh lime juice
11. 2 large eggs
12. Cilantro leaves and lime wedges (for serving)","1. Cook grains in a small pot of boiling salted water until al dente. Drain and let cool in a medium bowl.
2. Meanwhile, melt 2 Tbsp. ghee in a small nonstick skillet over medium heat. Add shallot and garlic and cook, stirring occasionally, until shallot is beginning to brown and crisp around edges, 5–6 minutes. Remove from heat and stir in ginger, mustard seeds, and turmeric. Let cool slightly. Season with salt. Add cucumbers and half of shallot mixture to grains and toss to combine. Add lime juice; season with salt. Transfer grain mixture to a medium bowl. Wipe out skillet.
3. Heat remaining 1 Tbsp. ghee in skillet over medium-high. Add eggs and cook, undisturbed, until very deeply browned underneath, 2–3 minutes; season with salt. Carefully turn (if desired) and cook until all of the whites are opaque, about 5 seconds.
4. Divide grains between bowls. Top with eggs, remaining shallot mixture, and cilantro. Serve with lime wedges for squeezing over.",2 servings,,Frying shallots and garlic with mustard seeds in ghee can enhance the flavor of various dishes.,Chris Morocco,https://www.bonappetit.com/recipe/crispy-eggs-over-grains?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
Brussels Sprout Tacos With Spicy Peanut Butter,"1. 3 Tbsp. fish sauce
2. 1 cup unseasoned rice vinegar
3. ¼ cup sliced scallions
4. 1 ½"" piece ginger, peeled, finely grated
5. Kosher salt
6. 2 Tbsp. Aleppo-style pepper or 1 Tbsp. crushed red pepper flakes
7. ¾ cup unsalted, roasted peanuts plus ¼ cup crushed
8. 1 lb. brussels sprouts, preferably small ones, trimmed, divided
9. 1 cup vegetable oil
10. 8 6"" corn tortillas
11. ¼ cup finely chopped white onion
12. Sliced avocado
13. Sliced serrano chiles
14. Cilantro leaves with tender stems
15. Flaky sea salt
16. Lime wedges","1. Heat a small saucepan over medium. When hot, pour in 1 Tbsp. fish sauce. It should bubble up vigorously and then get thicker and slightly darker, about 30 seconds. Repeat with remaining fish sauce, incorporating 1 Tbsp. at a time. Carefully add vinegar (it may spatter), then transfer mixture to a small bowl; let cool. Stir in scallions and ginger. Taste and season with salt.
2. Purée red pepper and ¾ cup whole peanuts in a food processor until a smooth butter forms, about 2 minutes. Season with kosher salt and scrape into a small bowl.
3. Very thinly slice one-fourth of brussels sprouts; transfer to a medium bowl. Cut remaining brussels sprouts in half. Heat oil in a medium skillet over medium-high. Shallow-fry halved brussels sprouts in batches, being careful not to overcrowd the pan, until browned and crisp, about 5 minutes per batch. Transfer to paper towels to drain, then add to sliced brussels sprouts. Drizzle with ¼ cup Salty-Sour Vinaigrette and toss to coat; season with kosher salt.
4. To serve, heat a medium skillet over medium-high. Working one at a time, cook tortillas just until warmed through; transfer to plates. Spread tortillas with some spicy peanut butter; spoon brussels sprouts over. Top with onion, avocado, chiles, cilantro, and ¼ cup crushed peanuts; sprinkle with sea salt. Serve with lime wedges.",4 servings,,Vinaigrette can be made 1 week ahead. Cover and chill.,Daniela Soto-Innes,https://www.bonappetit.com/recipe/brussels-sprout-tacos-with-spicy-peanut-butter
,,,,,"Access to the webpage has been denied, so recipe details could not be extracted.",,https://www.thekitchn.com/broccoli-cheese-wild-rice-casserole-half-baked-harvest-265738?utm_source=instagram&utm_medium=curalate_like2buy_jFruWRJL__5b390101-7d11-4484-a48b-dd0008a5a79f&crl8_id=5b390101-7d11-4484-a48b-dd0008a5a79f
,,,,,,,https://fitfoodiefinds.com/sweet-potato-vegan-buddha-bowl-recipe/?epik=01Bu0E_IWX3Ny
Simple Ribollita,"1. 1 large onion
2. 3 medium carrots
3. 2 celery stalks
4. 8 garlic cloves
5. 2 bunches Tuscan kale
6. 1 small wedge of Parmesan with rind
7. 1 28-oz. can whole peeled tomatoes
8. ½ loaf crusty country bread (about 10 oz.)
9. ⅓ cup extra-virgin olive oil, plus more for drizzling
10. Kosher salt
11. 1 14-oz. can cannellini beans
12. ¾ tsp. crushed red pepper flakes","1. Place a rack in middle of oven; preheat to 450°. Prep the vegetables: chop 1 large onion, 3 medium carrots, and 2 celery stalks. Transfer to a medium bowl.
2. Smash and peel 8 garlic cloves, then add to the bowl with the vegetables.
3. Strip stems from 2 bunches Tuscan kale, tear leaves into 2"" pieces, and set aside.
4. Cut rind off of 1 small Parmesan wedge and set aside.
5. Place 28 oz. canned tomatoes and their juices in a strainer set inside a medium bowl. Squeeze tomatoes and crush them with your hands.
6. Tear ½ loaf crusty country bread into 1½"" pieces.
7. Heat ⅓ cup extra-virgin olive oil in a medium Dutch oven over medium heat. Add the bowl of mirepoix and 2 tsp. salt, cooking until vegetables are softened but not browned, 8–10 minutes.
8. Lift strainer full of tomatoes and add tomatoes (but not juices) to the pot. Cook, stirring occasionally, for about 10 minutes.
9. Drain and rinse 14 oz. canned cannellini beans, then add to pot along with Parmesan rind, tomato juices, ¾ tsp. red pepper flakes, and 4 cups water. Bring to a simmer.
10. Add kale in two additions, stirring often and allowing to wilt in between.
11. Add about one-third of torn bread and cook, stirring occasionally, until coated and warmed through, about 5 minutes more. Taste and adjust seasoning.
12. Remove from heat. Place remaining torn bread chunks on top of stew. Drizzle generously with olive oil.
13. Transfer pot to oven and bake stew until thick, bubbling, and bread is golden brown on top, 10–15 minutes.
14. Ladle stew into bowls, drizzle each generously with olive oil, and grate lots of Parmesan over.",4–6 servings,"Prep: 15 minutes
Cook: 45 minutes
Total: 1 hour","The rind of Parmesan is full of flavor and makes a great addition to any broth-y, stewy situation.",Molly Baz,https://www.bonappetit.com/recipe/simple-ribollita?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
Gluten-Free & Keto Roux,"1. ¾ cup butter
2. 1 cup gluten free flour
3. 1 cup Avocado Oil or 1 cup of butter
4. 1 cup Bob’s Redmill Cassava Flour","1. Melt the butter in a medium-sized saucepan over medium heat.
2. Whisk the flour into the fat and cook over medium heat for 7-8 minutes, stirring every 2-3 minutes.
3. To make a creamy white sauce: slowly whisk in 2.5 cups of room temperature almond milk to the prepared roux. After the milk is incorporated, stir in salt, pepper, and minced garlic. Mix in parmesan cheese for a creamy alfredo sauce.
4. Heat the oil or butter in a medium-sized saucepan over medium heat.
5. Whisk the cassava flour into the fat and cook over medium-high heat for 10-12 minutes, stirring every 2-3 minutes.",,"Cook: 7-8 minutes for light brown roux, 10-12 minutes for dark roux","Cassava toasts up quickly in the pan, creating a nutty dark flavor extra fast since it’s grain free.",Lindsay Cotter,https://www.cottercrunch.com/how-to-make-gluten-free-roux/
General Tso's Chicken,"1. Chicken thighs
2. Egg whites
3. Soy sauce
4. Corn starch
5. Sugar
6. White vinegar
7. Garlic
8. Ginger
9. Shaoxing wine
10. White pepper
11. Toasted sesame oil
12. Chinese chili flakes","1. Marinate: In a large bowl, whisk together the ingredients for the chicken coating until light and frothy. Toss in the chicken pieces and let sit at room temperature.
2. Batter: Place 1 cup of cornstarch in a bowl. Spoon out 2 tablespoons of the chicken coating and whisk into the cornstarch to form small clumps. Working in batches, thoroughly coat several pieces of chicken in the cornstarch, and shake off the excess.
3. Fry: Fry the chicken using your preferred method: deep fry, air fry, or oven bake. Deep fry will produce the best results.
4. Sauce: Once all of your chicken is done and resting, make the sauce. Add the sauce ingredients and cook, stirring, until the sauce comes to a boil and starts to thicken. Remove from heat, then add the chicken.
5. Enjoy: Toss thoroughly to coat and enjoy immediately.",,,"Deep frying provides the best results, but air frying and oven baking are healthier options.",Stephanie,https://iamafoodblog.com/general-tsos-chicken-recipe/
,,,,,,,https://thesugarfreediva.com/low-carb-wonton-wrappers/
Crunchy Gochujang Fennel,"1. 1 large fennel bulb, stems and dark green parts removed
2. Kosher salt
3. 1 ½"" piece ginger, peeled, finely chopped
4. 1 small garlic clove, finely chopped
5. 2 Tbsp. gochujang (Korean hot pepper paste)
6. 1 Tbsp. plus 1½ tsp. unseasoned rice vinegar
7. 1 Tbsp. honey
8. 1 Tbsp. toasted sesame oil
9. 1½ tsp. gochugaru (coarse Korean hot pepper flakes)
10. 1½ tsp. toasted sesame seeds","1. Slice fennel bulb into quarters lengthwise through the core. Cut out core; discard. Slice bulb lengthwise ¼"" thick. Cook in a large saucepan of boiling salted water until just beginning to soften and turn translucent, about 2 minutes. Using a slotted spoon, transfer to a bowl of ice water and let cool. Drain; pat dry with paper towels.
2. Whisk together ginger, garlic, gochujang, vinegar, honey, oil, gochugaru, and sesame seeds in a medium bowl. Add fennel and toss to coat; season with salt.
3. Fennel can be made 4 days ahead. Cover and chill.",4 servings,Cook: 2 minutes,Fennel can be made 4 days ahead. Cover and chill.,Sohui Kim,https://www.bonappetit.com/recipe/crunchy-gochujang-fennel
Chicken and Rice Soup with Garlicky Chile Oil,"1. 1 small onion
2. 6 garlic cloves
3. ⅔ cup white rice, preferably short grain
4. ¼ cup plus 2 Tbsp. vegetable oil
5. 2 tsp. crushed red pepper flakes
6. 1 lb. skinless, boneless chicken thighs
7. 2½ tsp. kosher salt, divided
8. 1 large bunch Tuscan kale
9. 1 lemon
10. 3 sprigs dill
11. Freshly ground black pepper
12. 8 cups water","1. Peel and finely chop 1 small onion. Peel and thinly slice 6 garlic cloves. Rinse ⅔ cup white rice in a fine-mesh sieve until water runs clear.
2. Heat ¼ cup plus 2 Tbsp. vegetable oil in a large saucepan over medium. Add garlic and cook, swirling pan often, until golden brown, 3–5 minutes. Transfer to a small heatproof bowl, leaving 1 Tbsp. garlic oil in pot. Stir 2 tsp. crushed red pepper flakes into garlic oil in bowl; set aside.
3. Add the onion to the 1 Tbsp. of garlic oil that remains in the saucepan and cook over medium heat, stirring occasionally, until onion is translucent and beginning to take on some color, about 5 minutes.
4. Pour in 8 cups water and stir to combine. Stir in rice, 1 lb. skinless, boneless chicken thighs, and 1 tsp salt. Bring to a boil, then reduce heat to low and bring to a gentle simmer. Simmer, uncovered, until chicken is cooked through, about 20 minutes.
5. Using tongs, transfer chicken to a plate and let sit until cool enough to handle. Shred meat with two forks. Continue to simmer soup while you’re prepping the rest of your ingredients.
6. Strip kale leaves off of thick center ribs from 1 bunch Tuscan kale, discarding ribs. Rinse kale thoroughly in cold water, shake off excess water, then thinly slice leaves crosswise.
7. Add kale and shredded chicken to pot. Continue to simmer, stirring occasionally, until kale is bright green and chicken is warmed through, about 4 minutes.
8. Remove pot from heat. Squeeze in lemon juice, season with 2 tsp. salt (or more to taste), and stir to combine.
9. Divide soup among bowls. Drizzle with reserved garlic-chile oil. Tear 3 sprigs dill over, then top with a few grinds of black pepper.",4 servings,,"Doubling or tripling the garlic-chile oil wouldn't be a bad idea, just saying.",Kat Boytsova,https://www.bonappetit.com/recipe/chicken-and-rice-soup-with-garlicky-chile-oil?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
The Perfect Dumpling Sauce Recipe,"1. 1 teaspoon sugar
2. 1 tablespoon hot water
3. 2 tablespoons soy sauce
4. 1 teaspoon rice vinegar
5. 1 teaspoon chili oil
6. 1 teaspoon garlic (minced)
7. 1 teaspoon toasted sesame seeds
8. 1/2 teaspoon sesame oil","1. Dissolve 1 teaspoon sugar in 1 tablespoon hot water.
2. Add soy sauce, rice vinegar, chili oil, minced garlic, sesame seeds, and sesame oil.
3. Stir to combine.
4. Serve with freshly cooked dumplings and enjoy!",Serves 4,"Prep: 5 minutes
Total: 5 minutes",This sauce is perfect for taking your favorite homemade or store-bought dumplings to the next level.,Sarah,https://thewoksoflife.com/2019/02/dumpling-sauce-recipe/
,,,,,,,https://www.howsweeteats.com/2019/02/halloumi-hummus-bowls/
Savory Dutch Baby,"1. 3 large eggs, room temperature
2. ¾ cup whole milk, room temperature
3. 3 tablespoons unsalted butter, melted, slightly cooled, divided
4. ½ cup all-purpose flour
5. 2 tablespoons cornstarch
6. ½ teaspoon kosher salt
7. ½ teaspoon freshly ground black pepper","1. Place a medium ovenproof skillet, preferably cast iron, in center of oven and preheat oven to 450°. Let skillet heat at least 25 minutes total (prepare your toppings while you wait).
2. Blend eggs in a blender on high speed until very frothy, about 1 minute. With motor running, gradually stream in milk, then 2 Tbsp. butter; blend another 30 seconds. Add flour, cornstarch, salt, and pepper and blend just to combine. (This batter doubles well if you want to scale up.)
3. Carefully remove skillet from oven and swirl remaining 1 Tbsp. butter in skillet to coat. Immediately pour batter into skillet (butter will brown quickly, so have batter at the ready to prevent burning). Bake pancake until puffed and brown around edges, 20–25 minutes. It will begin to deflate as soon as it comes out. Top as desired.",4 Servings,Total: 50 minutes,"Feel free to get creative with the toppings, but if you’re in need of inspiration, we swear by fried eggs, avocado, and shaved ham; smoked salmon, crème fraîche, and sliced spring onions; or sautéed kale, crispy bacon, and aged cheddar.",Claire Saffitz,https://www.bonappetit.com/recipe/savory-dutch-baby?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
,,,,,,,https://www.halfbakedharvest.com/sun-dried-tomato-chicken-and-avocado-cobb-salad/#bo-recipe
,,,,,,,https://www.halfbakedharvest.com/one-skillet-filipino-coconut-adobo-chicken/
